,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
172,373575,634440,424320,208335,189720,255510,114750,124695,141015,133620,190995,128265,74970,107610,116280,69360,50745,187935,1
173,340680,390915,361080,297585,288915,374340,353940,381225,186150,142800,137190,70890,42075,34680,37230,42075,40035,49215,1
174,377145,427890,408255,427125,417690,376890,307530,344760,332775,318495,288150,291465,262140,246075,234090,228735,218535,276165,1
175,14025,16830,142035,124185,123675,85935,40290,25500,94350,112965,94860,91035,3825,2295,90525,81855,61455,65025,1
176,284070,233835,241230,225930,248370,299880,308805,304725,230010,236640,274890,237915,234345,246330,239445,240720,286365,264180,1
177,326145,328950,320790,387090,405450,440130,385050,363630,363885,367455,373065,362355,353430,366945,412335,398565,361080,406215,1
178,142545,112965,88485,112710,83385,92565,190995,175185,231030,153000,173400,141015,150960,149940,178755,148920,136425,167535,1
179,141525,155295,176460,189720,175695,207570,207570,140760,155805,122400,112455,116535,95115,76755,53550,52275,92310,60180,1
180,244035,427125,387600,524790,460020,365670,428910,180285,187425,243780,172635,221850,267750,665040,356490,252705,210885,395250,1
181,318750,219045,200175,225930,251685,284070,303450,367455,290190,921570,269535,370260,284325,256785,309315,262905,430185,249390,1
182,569415,530910,286110,359040,380460,302685,223635,129030,143055,83385,255,6120,255,2550,1530,1020,1020,5355,1
183,64005,65025,61455,125460,293760,197880,202980,173400,597975,165750,167535,194310,133620,269280,121890,130815,151725,177225,1
184,3825,8415,24990,3315,3570,3825,5610,5610,6885,6120,5355,4845,8415,7905,5865,7905,4845,16830,1
185,137445,150195,111690,137700,118065,137190,126225,90270,98175,130305,105060,87210,103785,88995,122910,111435,116025,126735,1
186,472005,447015,231795,123930,119340,108630,130815,105060,80835,109650,102255,86700,73185,59160,40290,52275,26265,22695,1
187,57885,72930,63495,29325,14535,20400,18360,24225,22185,21165,34935,36210,20655,25755,12750,15300,13260,26265,1
188,532695,403410,359295,379950,320535,375105,382755,346290,352665,335070,314925,351135,300390,293505,327165,310590,327930,372555,1
189,268515,240465,141015,82875,88230,103785,124185,81600,65025,87465,73950,64770,42585,58140,47430,39780,35700,52530,1
190,183855,142545,131835,116790,115005,110925,105570,64005,77265,84660,66045,51000,54060,48195,65790,81600,59415,78030,1
191,176460,62730,52530,94605,35700,80835,292230,591855,487560,321045,357510,381480,430950,538815,621945,602310,580635,629595,1
192,139230,99960,103275,86445,97155,100725,71655,36210,62730,53805,74205,73185,75990,48960,60180,51255,34425,53295,1
193,58650,64515,373065,660450,1145205,935850,568140,697425,355470,353940,381990,228480,280245,237660,150960,246585,155295,135660,1
194,127755,118830,62475,53040,50235,91290,86445,80835,87720,75225,77265,73950,86445,67830,72930,69615,62730,74460,1
195,52020,53040,61965,63750,46920,60435,49725,46155,41310,39525,136170,133620,230010,220320,175950,75735,129540,86700,1
196,232815,297585,63495,51255,55590,112710,133875,154785,233325,136680,151725,151980,218535,215220,185130,220575,231795,200940,1
197,408510,483990,690795,72675,86700,833340,33915,28305,407235,93585,104040,364905,396015,242250,79560,110925,929220,413355,1
198,57375,55590,67830,289680,378675,468435,715530,609705,344760,301665,310590,311100,465375,266475,164985,205020,340935,247860,1
199,183090,177735,151470,136425,140250,198900,155805,136680,161925,142545,147135,169575,170085,165495,204000,191250,195075,189975,1
200,58650,11730,6375,3825,6885,44625,66300,49980,35700,51000,27030,17340,5610,10710,25245,43860,50235,57630,1
201,352665,337365,387600,294015,298860,244290,199155,190740,194310,198390,199410,158355,195330,154785,176715,167535,149685,149430,1
202,53295,48705,282285,316710,379695,433245,55080,41055,535755,547230,553605,566610,56355,61455,500055,515865,416160,461295,1
203,88740,124440,112455,126225,115770,113475,143820,114240,108630,115005,92055,117300,109140,109905,106335,124695,99705,119340,1
204,259845,191505,215220,192525,269025,340425,206550,219810,181560,187170,168555,134640,169575,154785,148155,161925,99195,124695,1
205,54570,72675,18105,26010,75990,59415,46920,405960,32895,49215,402645,280500,35955,44370,198900,156570,246585,86445,1
206,628575,592875,393465,355215,329970,348840,331245,313395,346035,415650,356490,349095,355215,361335,383520,353940,354450,393465,1
207,291720,293250,266475,287895,285600,296820,307530,348840,377145,295800,223635,196605,180030,126480,134385,142290,151980,168300,1
208,367200,348075,318495,289680,338895,351645,316965,246585,187680,214200,241740,303450,268515,258315,252450,322830,317220,317220,1
209,46410,22695,29580,59670,54570,98940,29070,23715,84660,179010,243270,216240,238425,303450,266730,92820,50490,64260,1
210,217770,565080,502860,622455,664020,317475,349860,324615,171360,164730,144075,211650,372555,161160,141525,166260,204765,368220,1
